set_id;ver_id;reference_yt_id;yt_id;sample_group;worker_ind0;worker_ind1;worker_ind2;worker_ind3;worker_ind4;origin;seed;nlabel_mturk;label_mturk;label_expert;nlabel_expert;category_expert;nlabel;label;expert_id;music_ratio
21;111;STuFITcXas0;AmTcG2W6N7Q;DisAgrMus;2;2;2;;;expert;False;2;Version;Version;2;Placeholder: Non-Ambiguous;2;Version;0;0.890487822506548
21;111;STuFITcXas0;FUPbOa6wvAU;DisAgrMus;1;1;1;;;worker;False;1;Non-Version;;;;1;Non-Version;;0.809635884663768
21;111;STuFITcXas0;Lxk-9VFycjc;MutUnc;1;1;1;;;worker;False;1;Non-Version;;;;1;Non-Version;;0.923465438741722
21;111;STuFITcXas0;ODsC3nuGluE;DisAgrTxt;2;2;2;;;expert;False;2;Version;Version;2;Song: Instrumental;2;Version;0;0.843071713654891
21;111;STuFITcXas0;Qkn2PFxFe1Y;DisAgrTxt;1;1;1;;;worker;False;1;Non-Version;;;;1;Non-Version;;0.998182321102061
21;111;STuFITcXas0;bUTklFbeZWE;MutUnc;1;1;1;;;worker;False;1;Non-Version;;;;1;Non-Version;;
21;111;STuFITcXas0;dHoo6LAK_HA;DisAgrMus;1;1;1;;;worker;False;1;Non-Version;;;;1;Non-Version;;0.951465441867344
21;111;STuFITcXas0;uwevOLbBrd8;DisAgrTxt;1;1;1;;;worker;False;1;Non-Version;;;;1;Non-Version;;0.925598113954216
21;111;STuFITcXas0;zCWJQEnzp8Y;MutUnc;1;1;1;;;worker;False;1;Non-Version;;;;1;Non-Version;;0.759064844455099
58;100;mEl_eQQ_q0c;0u0M4CMq7uI;MutUnc;1;1;1;1;2;worker;False;1;Non-Version;;;;1;Non-Version;;0.972722634539333
58;100;mEl_eQQ_q0c;7ZA3HIGsPM0;DisAgrTxt;2;2;1;1;2;expert;False;2;Version;Version;2;Song: Vocal-Only;2;Version;0;0.79608074338155
58;100;mEl_eQQ_q0c;B_rt1JsAdQs;DisAgrMus;2;2;1;1;1;expert;False;1;Non-Version;Non-Version;1;Song: Similar;1;Non-Version;0;0.991297572415587
58;100;mEl_eQQ_q0c;GgiCroHhyZQ;DisAgrTxt;0;0;0;0;0;expert;False;0;No Music;No Music;0;Placeholder: No Music;0;No Music;0;0
58;100;mEl_eQQ_q0c;Q7sd7EhnB44;DisAgrMus;2;2;2;1;1;expert;False;2;Version;Non-Version;1;Video: Low Fidelity;1;Non-Version;0;0.980285473215425
58;100;mEl_eQQ_q0c;XXkTKkspQBI;DisAgrMus;1;1;1;1;1;expert;False;1;Non-Version;Non-Version;1;Song: Similar;1;Non-Version;0;0.979475223045695
58;100;mEl_eQQ_q0c;dWad144G8pQ;MutUnc;1;1;2;1;0;worker;False;1;Non-Version;;;;1;Non-Version;;0.957754036668202
58;100;mEl_eQQ_q0c;kMU2S4G7qkY;MutUnc;1;1;2;1;1;worker;False;1;Non-Version;;;;1;Non-Version;;0.96932276844352
58;100;mEl_eQQ_q0c;wvm0nOtExb0;DisAgrTxt;1;1;1;1;1;worker;False;1;Non-Version;;;;1;Non-Version;;0.882658264519892
63;28;uhWb-Avb9Yc;7BvN_0PAqlQ;MutUnc;1;1;1;;;worker;False;1;Non-Version;;;;1;Non-Version;;0.979900693530088
63;28;uhWb-Avb9Yc;BSByOeew1rU;DisAgrTxt;1;1;1;;;worker;False;1;Non-Version;;;;1;Non-Version;;0.96156428191541
63;28;uhWb-Avb9Yc;BaJwCYzFRWU;MutUnc;2;3;0;;;expert;False;1;Non-Version;Non-Version;1;Video: With Non-Music;1;Non-Version;0;0.986874276885539
63;28;uhWb-Avb9Yc;DvTVMf9fLJg;DisAgrTxt;1;1;1;;;worker;False;1;Non-Version;;;;1;Non-Version;;0.997787023368331
63;28;uhWb-Avb9Yc;FhIBYl-WMQc;DisAgrMus;1;1;1;;;worker;False;1;Non-Version;;;;1;Non-Version;;0.99207675257139
63;28;uhWb-Avb9Yc;SxwP9FHtFiE;MutUnc;1;1;1;;;worker;False;1;Non-Version;;;;1;Non-Version;;0.949305759200394
63;28;uhWb-Avb9Yc;eKPUD81KuBY;DisAgrMus;2;1;1;;;expert;False;1;Non-Version;Non-Version;1;Video: With Non-Music;1;Non-Version;0;0.769045873289968
63;28;uhWb-Avb9Yc;tgBgbuq6dp8;DisAgrTxt;2;2;2;;;expert;False;2;Version;Non-Version;1;Video: Similar Metadata;1;Non-Version;0;0.979808743086129
63;28;uhWb-Avb9Yc;zowz-EU9bI0;DisAgrMus;1;0;1;;;expert;False;1;Non-Version;Non-Version;1;Placeholder: Non-Ambiguous;1;Non-Version;0;0.998186398648154
81;0;P6tNV3DyaFU;0eP_aEyXTfA;DisAgrTxt;2;2;3;2;2;expert;False;2;Version;Version;2;Song: Medley;2;Version;0;
81;0;P6tNV3DyaFU;5rJbYDh1lVw;DisAgrTxt;2;2;3;2;2;expert;False;2;Version;Version;2;Song: Mashup/Remix;2;Version;0;0.995751046802494
81;0;P6tNV3DyaFU;AdSyTDp0Ssg;DisAgrMus;1;1;1;1;1;expert;False;1;Non-Version;Non-Version;1;Song: Same Artist;1;Non-Version;0;0.864063198971114
81;0;P6tNV3DyaFU;gssRNw-Zt-4;MutUnc;1;1;1;1;1;expert;False;1;Non-Version;Non-Version;1;Song: Same Artist;1;Non-Version;0;0.930615166385037
81;0;P6tNV3DyaFU;nkPNvuxeiSE;MutUnc;1;3;1;1;1;expert;False;1;Non-Version;Non-Version;1;Song: Similar;1;Non-Version;0;0.991272526197046
81;0;P6tNV3DyaFU;raNc3s-coD4;DisAgrMus;0;0;0;0;1;expert;False;0;No Music;Non-Version;1;Video: With Non-Music;1;Non-Version;0;0.808992874578933
81;0;P6tNV3DyaFU;tZP1WNqbjmA;MutUnc;1;1;1;1;1;expert;False;1;Non-Version;Non-Version;1;Song: Same Genre;1;Non-Version;0;0.879635545592423
81;0;P6tNV3DyaFU;w73hEZKnDeA;DisAgrMus;1;1;1;1;1;worker;False;1;Non-Version;;;;1;Non-Version;;0.988768308694518
81;0;P6tNV3DyaFU;xT-hG6-Hk-Y;DisAgrTxt;2;2;3;2;2;expert;False;2;Version;Version;2;Song: Vocal-Only;2;Version;0;0.476223907959245
96;33;1s_5oZqqVQk;86jeSodhfXw;DisAgrTxt;1;1;1;1;1;worker;False;1;Non-Version;;;;1;Non-Version;;0.976236118350793
96;33;1s_5oZqqVQk;JmSXU6Yy45I;DisAgrTxt;2;0;1;2;2;expert;False;2;Version;Version;2;Song: Vocal-Only;2;Version;0;0
96;33;1s_5oZqqVQk;QbIphnGyAbE;DisAgrMus;1;1;2;1;1;worker;False;1;Non-Version;;;;1;Non-Version;;0.987558339786249
96;33;1s_5oZqqVQk;TsLhh0MVc0M;MutUnc;2;1;1;2;2;expert;False;2;Version;Version;2;Placeholder: Non-Ambiguous;2;Version;0;0.886316451843974
96;33;1s_5oZqqVQk;XxfBytzK6e4;MutUnc;1;1;1;1;1;worker;False;1;Non-Version;;;;1;Non-Version;;0.802254796875
