;set_id;ver_id;qry_text;qry_base;qry_type;qry_expansion;qry_rank
0;21;1;marianne faithfull yesterday;ARTIST_TITLE;BASE;;0
50;21;1;yesterday;TITLE;BASE;;0
100;21;1;marianne faithfull yesterday youtube;ARTIST_TITLE;INDIV;youtube;0
150;21;1;yesterday beatles;TITLE;INDIV;beatles;0
200;21;1;marianne faithfull yesterday lyrics;ARTIST_TITLE;UNIV;lyrics;0
250;21;1;yesterday lyrics;TITLE;UNIV;lyrics;0
300;21;1;yesterday once more;TITLE;INDIV;once more;1
350;21;1;marianne faithfull yesterday live;ARTIST_TITLE;UNIV;live;1
400;21;1;yesterday live;TITLE;UNIV;live;1
450;21;1;yesterday when i was young;TITLE;INDIV;when i was young;2
500;21;1;marianne faithfull yesterday cover;ARTIST_TITLE;UNIV;cover;2
550;21;1;yesterday cover;TITLE;UNIV;cover;2
600;21;1;yesterday movie;TITLE;INDIV;movie;3
650;21;1;marianne faithfull yesterday karaoke;ARTIST_TITLE;UNIV;karaoke;3
700;21;1;yesterday karaoke;TITLE;UNIV;karaoke;3
750;21;1;yesterday piper rockelle;TITLE;INDIV;piper rockelle;4
800;21;1;marianne faithfull yesterday reaction;ARTIST_TITLE;UNIV;reaction;4
850;21;1;yesterday reaction;TITLE;UNIV;reaction;4
900;21;1;yesterday match highlights;TITLE;INDIV;match highlights;5
950;21;1;marianne faithfull yesterday remix;ARTIST_TITLE;UNIV;remix;5
1000;21;1;yesterday remix;TITLE;UNIV;remix;5
1050;21;1;yesterday trailer;TITLE;INDIV;trailer;6
1100;21;1;marianne faithfull yesterday piano;ARTIST_TITLE;UNIV;piano;6
1150;21;1;yesterday piano;TITLE;UNIV;piano;6
1200;21;1;yesterday karaoke;TITLE;INDIV;karaoke;7
1250;21;1;marianne faithfull yesterday instrumental;ARTIST_TITLE;UNIV;instrumental;7
1300;21;1;yesterday instrumental;TITLE;UNIV;instrumental;7
1350;21;1;yesterday once more karaoke;TITLE;INDIV;once more karaoke;8
1400;21;1;marianne faithfull yesterday guitar;ARTIST_TITLE;UNIV;guitar;8
1450;21;1;yesterday guitar;TITLE;UNIV;guitar;8
1500;21;1;yesterday mary mary;TITLE;INDIV;mary mary;9
1550;21;1;marianne faithfull yesterday guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
1600;21;1;yesterday guitar lesson;TITLE;UNIV;guitar lesson;9
1650;21;1;yesterday moneybagg yo;TITLE;INDIV;moneybagg yo;10
1700;21;1;marianne faithfull yesterday hq;ARTIST_TITLE;UNIV;hq;10
1750;21;1;yesterday hq;TITLE;UNIV;hq;10
1800;21;1;yesterday lyrics;TITLE;INDIV;lyrics;11
1850;21;1;marianne faithfull yesterday text;ARTIST_TITLE;UNIV;text;11
1900;21;1;yesterday text;TITLE;UNIV;text;11
1950;21;1;yesterday toni braxton trey songz;TITLE;INDIV;toni braxton trey songz;12
2000;21;1;marianne faithfull yesterday remastered;ARTIST_TITLE;UNIV;remastered;12
2050;21;1;yesterday remastered;TITLE;UNIV;remastered;12
2100;21;1;marianne faithfull yesterday chords;ARTIST_TITLE;UNIV;chords;13
2150;21;1;yesterday chords;TITLE;UNIV;chords;13
2200;21;1;marianne faithfull yesterday full album;ARTIST_TITLE;UNIV;full album;14
2250;21;1;yesterday full album;TITLE;UNIV;full album;14
2300;58;0;rina ketty plaisir d'amour;ARTIST_TITLE;BASE;;0
2350;58;0;plaisir d'amour;TITLE;BASE;;0
2400;58;0;plaisir d'amour piano;TITLE;INDIV;piano;0
2450;58;0;rina ketty plaisir d'amour lyrics;ARTIST_TITLE;UNIV;lyrics;0
2500;58;0;plaisir d'amour lyrics;TITLE;UNIV;lyrics;0
2550;58;0;plaisir d'amour martini;TITLE;INDIV;martini;1
2600;58;0;rina ketty plaisir d'amour live;ARTIST_TITLE;UNIV;live;1
2650;58;0;plaisir d'amour live;TITLE;UNIV;live;1
2700;58;0;plaisir d'amour nana mouskouri;TITLE;INDIV;nana mouskouri;2
2750;58;0;rina ketty plaisir d'amour cover;ARTIST_TITLE;UNIV;cover;2
2800;58;0;plaisir d'amour cover;TITLE;UNIV;cover;2
2850;58;0;plaisir d'amour accompaniment;TITLE;INDIV;accompaniment;3
2900;58;0;rina ketty plaisir d'amour karaoke;ARTIST_TITLE;UNIV;karaoke;3
2950;58;0;plaisir d'amour karaoke;TITLE;UNIV;karaoke;3
3000;58;0;plaisir d'amour lyrics;TITLE;INDIV;lyrics;4
3050;58;0;rina ketty plaisir d'amour reaction;ARTIST_TITLE;UNIV;reaction;4
3080;58;0;plaisir d'amour reaction;TITLE;UNIV;reaction;4
3130;58;0;plaisir d'amour joan baez;TITLE;INDIV;joan baez;5
3180;58;0;rina ketty plaisir d'amour remix;ARTIST_TITLE;UNIV;remix;5
3230;58;0;plaisir d'amour remix;TITLE;UNIV;remix;5
3280;58;0;plaisir d'amour piano accompaniment;TITLE;INDIV;piano accompaniment;6
3330;58;0;rina ketty plaisir d'amour piano;ARTIST_TITLE;UNIV;piano;6
