;set_id;ver_id;title;performer;yt_id;status
0;21;1;Yesterday;Marianne Faithfull;gORyrU1xQpg;1
1;21;2;Yesterday;Matt Monro;jQhC3bMMLmw;1
2;21;3;Yesterday;Jan & Dean;D8RS6zzghCQ;1
3;21;4;Yesterday;Mary Wells;Y1qYRFZfPm8;1
4;21;5;Yesterday;The Hollyridge Strings;eI3-EVEU51s;1
5;21;6;Yesterday;Cilla Black;ew1y-gvO_NM;1
6;21;7;Yesterday;Sarah Vaughan;tjYQuEyxRp0;1
7;21;8;Yesterday;The Toys;wN7IXCzr5EE;1
8;21;9;Yesterday;The Lettermen;LkkkW8NQWfA;1
9;21;10;Yesterday;The Supremes;6m700Z2ewu8;1
10;21;11;Yesterday;Brenda Lee;byB25cg7Kt0;1
11;21;12;Yesterday;Pat Boone;JNJqa8EXtVA;1
12;21;13;Yesterday;Bobby Goldsboro;U2Ez8ZNPUoE;1
13;21;14;Yesterday;Chris Farlowe;rM5M0GMZOXk;1
14;21;15;Yesterday;Nancy Wilson;_7R4889ztsM;1
15;21;16;Yesterday;Trini Lopez;W-wrXhYXERI;1
16;21;17;Yesterday;Jim Edward Brown;NKYHeK4RknY;1
17;21;18;Yesterday;Willie Nelson;G_hT_5iScis;1
18;21;19;Yesterday;The Seekers;jFNgBqg841M;1
19;21;20;Yesterday;John Gary;8vJ7GK25m20;1
20;21;21;Yesterday;The Beau Brummels;LR-s8C-LKO8;1
21;21;22;Yesterday;Chris Montez;5s_-vUB_fnw;1
22;21;23;Yesterday;Jack Jones;UsdrK6k96rA;1
23;21;24;Yesterday;Perry Como;Q9nKY0VzWOw;1
24;21;25;Yesterday;Johnny Mathis;g7RKJkH6D3Y;1
25;21;26;Yesterday;Simone;JJcxcWVF2hw;1
26;21;27;Yesterday;Count Basie and His Orchestra featuring Bill Henderson;DT2Dn2kV8Pk;1
27;21;28;Yesterday;The Brothers Four;lAeHMacoKJ4;1
28;21;29;Yesterday;The Paris Sisters;AAKJk7M4gOM;1
29;21;30;Yesterday;Tomcats [1];ef5q_1Ov1T0;1
30;21;31;Yesterday;Fran Jeffries;xsICbGAjjtM;1
31;21;32;Yesterday;Lou Rawls;XwBNVB0q8H8;1
32;21;33;Yesterday;Jane Morgan;opbe-AyP5oA;1
33;21;34;Yesterday;Mat 65;dWO_HpkY-N0;1
34;21;35;Yesterday;Roosevelt Grier;9LyhLAF2CLc;1
35;21;36;Yesterday;The Sandpipers;NxJuRGn454Y;1
36;21;38;Yesterday;Tom Jones;alvv3wf-zTE;1
37;21;39;Yesterday;The Ventures;nN31AKEWnFs;1
38;21;40;Yesterday;Carla Thomas;pEGYPWuWuoE;1
39;21;41;Yesterday;Joan Baez;-mXDPz3x3EA;1
40;21;42;Yesterday;Ray Charles;Bzk0n7h6I-o;1
41;21;43;Yesterday;Ray Price;XgDqvf29sFE;1
42;21;44;Yesterday;Tennessee Ernie Ford;zks88dXgXkk;1
43;21;45;Yesterday;Marty Robbins;hyBBFvV3lcs;1
44;21;46;Yesterday;Linda Jones;xkBmbuxD4sw;1
45;21;47;Yesterday;Tammy Wynette;xSVtm_gwvBY;1
46;21;49;Yesterday;Gladys Knight & The Pips;L1-t3YvFH40;1
47;21;50;Yesterday;Wes Montgomery;A2NZocMB6e4;1
48;21;51;Yesterday;Eyes of Blue;ULXokW0sKvQ;1
49;21;52;Yesterday;Al Martino;tvtzIVaUbjw;1
50;21;53;Yesterday;Dandy;RcjDM_jpraA;1
51;21;54;Yesterday;Kasenetz-Katz Singing Orchestral Circus;u5jxSuu6XVg;1
52;21;55;Yesterday;Ornella Vanoni;wZ8ZjVtIxow;1
53;21;56;Yesterday;The Impressions;fSOD6lCn-5I;1
54;21;57;Yesterday;Ruth Brown;xR02i44_rMw;1
55;21;58;Yesterday;Marvin Gaye;Hc-V4NTOn5s;1
56;21;59;Yesterday;José Feliciano;RMCil6Uo6BY;1
57;21;60;Yesterday;Elvis Presley with The Imperials Quartet;JVsPLnT3WiE;1
58;21;61;Yesterday;Browning Bryant;f51143ZLYBI;1
59;21;62;The Long and Winding Road/Yesterday;Mark Lindsay;JyYBgkNTFtM;1
60;21;63;Yesterday;The Templeton Twins;zLOl2yR2Lew;1
61;21;65;Yesterday;Módulos;Y9_ypgtfNfY;1
62;21;67;Yesterday;Tyrone Taylor;dWFMCSisb08;1
63;21;68;Yesterday;The Singers Unlimited;NlRO-aHnh0M;1
64;21;69;Yesterday;Dr. John;r2y15TPB61M;1
65;21;70;Yesterday;David Essex;3ueST02QqmQ;1
66;21;71;Yesterday;Wings;gpfOQNFFV9E;1
67;21;72;Yesterday;Johnnie Ray;GiwQ1UGt28M;1
68;21;73;Yesterday;François Glorieux;Iz0q4wtknGY;1
69;21;74;Yesterday;Billie Jo Spears;UZzwYm5yI-0;1
70;21;75;Yesterday;Placido Domingo;0nbOsnbw_cY;1
71;21;76;Yesterday;Paul McCartney;RjpzTys0s9g;1
72;21;77;Yesterday;Vadim Brodsky;-8NtVUQ98Ug;1
73;21;78;Yesterday;Nana Mouskouri;EHLoj9OAmqc;1
74;21;79;Yesterday;Acker Bilk;nco7YrUvKXE;1
75;21;80;Yesterday;Leo Brouwer;WJNAAfensFo;1
76;21;81;Yesterday;Merle Haggard & Willie Nelson;W64pgAcKbYA;1
77;21;82;Yesterday;Shirley Bassey;sRdJQRIEslQ;1
78;21;83;Yesterday;En Vogue;ItESeU_4wOk;1
79;21;84;End (Medley: A) If I Fell B) Michelle C) Yesterday D) Blackbird E) Hey Jude F) The End);Dr. Fink & the Mystery Band;4SE8UvqaSWQ;1
80;21;85;Yesterday;Michael Bolton;pl-M0_yEyLA;1
81;21;86;Yesterday;Giovanni;-iFPr3G0BzI;1
82;21;88;Yesterday;LeAnn Rimes;WvU6F7UX1A0;1
83;21;89;Yesterday;Trio Rococo;JC3h7z83OeI;1
84;21;90;Yesterday;Boyz II Men;C6J50Pjd9jA;1
85;21;91;Yesterday;Billy Dean;MKhsYsYpyIA;1
86;21;92;Yesterday;The Bates;05hulaSbOiw;1
87;21;93;Yesterday;Bugs & Friends;1XjU6unPID0;1
88;21;94;Yesterday;Cheo Feliciano;eJDfGDs-DJs;1
89;21;95;Yesterday;Vic Damone;sk6qeZApKpc;1
90;21;96;Yesterday;Wet Wet Wet;ZI1LSCJ03WM;1
91;21;98;Yesterday/Yesterdays;Connie Evingson;6sTcOaxUd_4;1
92;21;99;Yesterday;The Swingle Singers;om0234p9EmE;1
93;21;100;Yesterday;Florence Ballard;xGtNQmpG8xY;1
94;21;101;Yesterday;Ivan Lins;udIAPL25U64;1
95;21;102;Yesterday;The Punkles;pgT0S_pLz6g;1
96;21;103;Yesterday;Cristina Zavalloni;haOwtZexvFs;1
97;21;105;Yesterday;Sarah Connor;bN1FlDH7lXA;1
98;21;106;Yesterday;Nicotine;rnKH-sjP2Bw;1
99;21;107;Yesterday;Rosie Gaines;ViX-nHGtBD0;1
